"rt","response","stimulus","participant_response","agent_decision","beads_shown","trial_type","trial_index","time_elapsed","internal_node_id","subject_id"
"5713","66","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/4red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/6.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/45.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/45.png","img/bead_samples/4red.png","html-slider-response","6902","305870","0.0-6902.0","JA23"
"7654.699999988079","44","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/4red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/7.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/20.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/20.png","img/bead_samples/4red.png","html-slider-response","7171","319447","0.0-7171.0","JA23"
"9654.300000011921","94","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/1red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/8.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/40.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/40.png","img/bead_samples/1red.png","html-slider-response","7440","335015","0.0-7440.0","JA23"
"3150.2999999523163","94","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/1red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/9.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/70.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/70.png","img/bead_samples/1red.png","html-slider-response","7709","344080","0.0-7709.0","JA23"
"3884.900000035763","88","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/2red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/10.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/90.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/90.png","img/bead_samples/2red.png","html-slider-response","7978","353943","0.0-7978.0","JA23"
"2984","10","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/7red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/11.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/5.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/5.png","img/bead_samples/7red.png","html-slider-response","8247","362991","0.0-8247.0","JA23"
"4922.699999988079","16","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/6red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/12.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/50.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/50.png","img/bead_samples/6red.png","html-slider-response","8516","373863","0.0-8516.0","JA23"
"3346.399999976158","10","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/7red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/13.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/5.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/5.png","img/bead_samples/7red.png","html-slider-response","8785","383207","0.0-8785.0","JA23"
"7197.899999976158","59","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/3red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/14.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/80.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/80.png","img/bead_samples/3red.png","html-slider-response","9054","396385","0.0-9054.0","JA23"
"4615.800000011921","84","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/2red.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:400px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:50%;
            margin-top:-480px;
            margin-left:-300px;""/>

            <div style=""position:absolute;
             top:30%;
             left:70%;
             height: 300px;"">
            <img src=""img/faces/15.png""
             style=""position: relative;
             height:200px;
             width:auto""/>

            <img src=""img/agent_choices/55.png""
             style=""position: relative;
             top: 80px;
             left: -105px;
             transform: translate(-50%, -50%);""/>
             </div>

            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 20px;"">
            <p>Choose your confidence for the colour of the next bead:</p>
            <div style=""width:50px; float: left;"">
            <p><img src=""img/red_bead.png""/></p>
            </div>
            <div style=""width:50px; float: right;"">
            <p><img src=""img/green_bead.png""/></p>
            </div>
            </div>

            ","true","img/agent_choices/55.png","img/bead_samples/2red.png","html-slider-response","9323","406871","0.0-9323.0","JA23"
