"rt","response","stimulus","participant_response","agent_decision_1","agent_decision_2","beads_shown","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","button_pressed","color"
"3795","2","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/0.7.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:300px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:53%;
            height: 600px;
            margin-top:-430px;
            margin-left:-290px""/>

            <img src=""img/faces/1.png""
            style=""position:absolute;
             top:10%;
             left:85%;
             height:200px;
             width:auto;""/>

            <img src=""img/faces/2.png""
            style=""position:absolute;
             top:50%;
             left:85%;
             height:200px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/15.png""
            style=""position:absolute;
             top:27%;
             left:70%;
             height:30px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/20.png""
            style=""position:absolute;
             top:67%;
             left:70%;
             height:30px;
             width:auto;""/>
            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 50px;"">
            <p style=""top:40%;right:0%; position:relative;"">Choose your confidence for the jar which the beads are drawn from:</p>
            <div style=""width:10px; float: left;"">
            <p><img src=""img/red_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            <div style=""width: 25px; float: right;"">
            <p><img src=""img/green_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            </div>

            ","true","img/agent_choices_piechart/15.png","img/agent_choices_piechart/20.png","img/bead_samples/0.7.png","html-slider-response","1288","87935","0.0-1288.0","R_1hRJvs7Y7RvMc3s","",""
"8179","60","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/0.3.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:300px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:53%;
            height: 600px;
            margin-top:-430px;
            margin-left:-290px""/>

            <img src=""img/faces/2.png""
            style=""position:absolute;
             top:10%;
             left:85%;
             height:200px;
             width:auto;""/>

            <img src=""img/faces/3.png""
            style=""position:absolute;
             top:50%;
             left:85%;
             height:200px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/50.png""
            style=""position:absolute;
             top:27%;
             left:70%;
             height:30px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/40.png""
            style=""position:absolute;
             top:67%;
             left:70%;
             height:30px;
             width:auto;""/>
            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 50px;"">
            <p style=""top:40%;right:0%; position:relative;"">Choose your confidence for the jar which the beads are drawn from:</p>
            <div style=""width:10px; float: left;"">
            <p><img src=""img/red_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            <div style=""width: 25px; float: right;"">
            <p><img src=""img/green_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            </div>

            ","true","img/agent_choices_piechart/50.png","img/agent_choices_piechart/40.png","img/bead_samples/0.3.png","html-slider-response","1795","107012","0.0-1795.0","R_1hRJvs7Y7RvMc3s","",""
"4878","46","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/0.4.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:300px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:53%;
            height: 600px;
            margin-top:-430px;
            margin-left:-290px""/>

            <img src=""img/faces/3.png""
            style=""position:absolute;
             top:10%;
             left:85%;
             height:200px;
             width:auto;""/>

            <img src=""img/faces/4.png""
            style=""position:absolute;
             top:50%;
             left:85%;
             height:200px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/30.png""
            style=""position:absolute;
             top:27%;
             left:70%;
             height:30px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/50.png""
            style=""position:absolute;
             top:67%;
             left:70%;
             height:30px;
             width:auto;""/>
            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 50px;"">
            <p style=""top:40%;right:0%; position:relative;"">Choose your confidence for the jar which the beads are drawn from:</p>
            <div style=""width:10px; float: left;"">
            <p><img src=""img/red_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            <div style=""width: 25px; float: right;"">
            <p><img src=""img/green_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            </div>

            ","true","img/agent_choices_piechart/30.png","img/agent_choices_piechart/50.png","img/bead_samples/0.4.png","html-slider-response","2302","122781","0.0-2302.0","R_1hRJvs7Y7RvMc3s","",""
"8266","","

            <img src=""img/red_jar_piechart.png"" alt = ""6-4"" style=""left:46%; top:40% ;width:3%; position:absolute"">
            <img src=""img/green_jar_piechart.png"" alt=""4-6"" style=""left:51%; top:40% ;width:3%; position:absolute"">

            ","true","","","","html-button-response","2304","135709","0.0-2304.0","R_1hRJvs7Y7RvMc3s","1","green"
"10501","75","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/0.1.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:300px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:53%;
            height: 600px;
            margin-top:-430px;
            margin-left:-290px""/>

            <img src=""img/faces/1.png""
            style=""position:absolute;
             top:10%;
             left:85%;
             height:200px;
             width:auto;""/>

            <img src=""img/faces/2.png""
            style=""position:absolute;
             top:50%;
             left:85%;
             height:200px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/55.png""
            style=""position:absolute;
             top:27%;
             left:70%;
             height:30px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/45.png""
            style=""position:absolute;
             top:67%;
             left:70%;
             height:30px;
             width:auto;""/>
            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 50px;"">
            <p style=""top:40%;right:0%; position:relative;"">Choose your confidence for the jar which the beads are drawn from:</p>
            <div style=""width:10px; float: left;"">
            <p><img src=""img/red_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            <div style=""width: 25px; float: right;"">
            <p><img src=""img/green_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            </div>

            ","true","img/agent_choices_piechart/55.png","img/agent_choices_piechart/45.png","img/bead_samples/0.1.png","html-slider-response","2366","147367","0.0-2366.0","R_1hRJvs7Y7RvMc3s","",""
"6694","59","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/0.6.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:300px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:53%;
            height: 600px;
            margin-top:-430px;
            margin-left:-290px""/>

            <img src=""img/faces/2.png""
            style=""position:absolute;
             top:10%;
             left:85%;
             height:200px;
             width:auto;""/>

            <img src=""img/faces/3.png""
            style=""position:absolute;
             top:50%;
             left:85%;
             height:200px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/95.png""
            style=""position:absolute;
             top:27%;
             left:70%;
             height:30px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/40.png""
            style=""position:absolute;
             top:67%;
             left:70%;
             height:30px;
             width:auto;""/>
            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 50px;"">
            <p style=""top:40%;right:0%; position:relative;"">Choose your confidence for the jar which the beads are drawn from:</p>
            <div style=""width:10px; float: left;"">
            <p><img src=""img/red_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            <div style=""width: 25px; float: right;"">
            <p><img src=""img/green_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            </div>

            ","true","img/agent_choices_piechart/95.png","img/agent_choices_piechart/40.png","img/bead_samples/0.6.png","html-slider-response","2428","155218","0.0-2428.0","R_1hRJvs7Y7RvMc3s","",""
"9704","36","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/0.7.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:300px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:53%;
            height: 600px;
            margin-top:-430px;
            margin-left:-290px""/>

            <img src=""img/faces/3.png""
            style=""position:absolute;
             top:10%;
             left:85%;
             height:200px;
             width:auto;""/>

            <img src=""img/faces/4.png""
            style=""position:absolute;
             top:50%;
             left:85%;
             height:200px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/85.png""
            style=""position:absolute;
             top:27%;
             left:70%;
             height:30px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/40.png""
            style=""position:absolute;
             top:67%;
             left:70%;
             height:30px;
             width:auto;""/>
            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 50px;"">
            <p style=""top:40%;right:0%; position:relative;"">Choose your confidence for the jar which the beads are drawn from:</p>
            <div style=""width:10px; float: left;"">
            <p><img src=""img/red_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            <div style=""width: 25px; float: right;"">
            <p><img src=""img/green_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            </div>

            ","true","img/agent_choices_piechart/85.png","img/agent_choices_piechart/40.png","img/bead_samples/0.7.png","html-slider-response","2490","166068","0.0-2490.0","R_1hRJvs7Y7RvMc3s","",""
"10917","58","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/0.6.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:300px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:53%;
            height: 600px;
            margin-top:-430px;
            margin-left:-290px""/>

            <img src=""img/faces/4.png""
            style=""position:absolute;
             top:10%;
             left:85%;
             height:200px;
             width:auto;""/>

            <img src=""img/faces/5.png""
            style=""position:absolute;
             top:50%;
             left:85%;
             height:200px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/85.png""
            style=""position:absolute;
             top:27%;
             left:70%;
             height:30px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/65.png""
            style=""position:absolute;
             top:67%;
             left:70%;
             height:30px;
             width:auto;""/>
            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 50px;"">
            <p style=""top:40%;right:0%; position:relative;"">Choose your confidence for the jar which the beads are drawn from:</p>
            <div style=""width:10px; float: left;"">
            <p><img src=""img/red_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            <div style=""width: 25px; float: right;"">
            <p><img src=""img/green_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            </div>

            ","true","img/agent_choices_piechart/85.png","img/agent_choices_piechart/65.png","img/bead_samples/0.6.png","html-slider-response","2552","178145","0.0-2552.0","R_1hRJvs7Y7RvMc3s","",""
"7636","58","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/0.3.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:300px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:53%;
            height: 600px;
            margin-top:-430px;
            margin-left:-290px""/>

            <img src=""img/faces/5.png""
            style=""position:absolute;
             top:10%;
             left:85%;
             height:200px;
             width:auto;""/>

            <img src=""img/faces/6.png""
            style=""position:absolute;
             top:50%;
             left:85%;
             height:200px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/45.png""
            style=""position:absolute;
             top:27%;
             left:70%;
             height:30px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/75.png""
            style=""position:absolute;
             top:67%;
             left:70%;
             height:30px;
             width:auto;""/>
            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 50px;"">
            <p style=""top:40%;right:0%; position:relative;"">Choose your confidence for the jar which the beads are drawn from:</p>
            <div style=""width:10px; float: left;"">
            <p><img src=""img/red_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            <div style=""width: 25px; float: right;"">
            <p><img src=""img/green_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            </div>

            ","true","img/agent_choices_piechart/45.png","img/agent_choices_piechart/75.png","img/bead_samples/0.3.png","html-slider-response","2614","186935","0.0-2614.0","R_1hRJvs7Y7RvMc3s","",""
"5654","69","

            <div style=""z-index: -1"">

            <img src=""img/bead_samples/0.4.png""
             style=""position:absolute;
             top:55%;
             left:25%;
             transform: translate(-50%, -50%);
             height:300px;
             width:auto;
             ""/>

            <img src='img/jar_covered_opened.png'
            style=""position:absolute;
            z-index: -1;
            top:50%;
            left:53%;
            height: 600px;
            margin-top:-430px;
            margin-left:-290px""/>

            <img src=""img/faces/6.png""
            style=""position:absolute;
             top:10%;
             left:85%;
             height:200px;
             width:auto;""/>

            <img src=""img/faces/7.png""
            style=""position:absolute;
             top:50%;
             left:85%;
             height:200px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/85.png""
            style=""position:absolute;
             top:27%;
             left:70%;
             height:30px;
             width:auto;""/>

             <img src=""img/agent_choices_piechart/45.png""
            style=""position:absolute;
             top:67%;
             left:70%;
             height:30px;
             width:auto;""/>
            </div>

            <div style=""width:200px;
            margin-bottom: 40px;
            margin-top: 50px;"">
            <p style=""top:40%;right:0%; position:relative;"">Choose your confidence for the jar which the beads are drawn from:</p>
            <div style=""width:10px; float: left;"">
            <p><img src=""img/red_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            <div style=""width: 25px; float: right;"">
            <p><img src=""img/green_jar_piechart.png"" style=""width:30px; top:43px""/></p>
            </div>
            </div>

            ","true","img/agent_choices_piechart/85.png","img/agent_choices_piechart/45.png","img/bead_samples/0.4.png","html-slider-response","2676","193743","0.0-2676.0","R_1hRJvs7Y7RvMc3s","",""
